batch_id,product_type,steel_grade,technology_route,country_of_origin,batch_weight_tonnes,thickness_mm,recycled_content_pct,renewable_energy_pct,energy_consumption_kwh_per_tonne,scrap_quality_score,carbon_pct,manganese_pct,chromium_pct,yield_strength_mpa,tensile_strength_mpa,carbon_footprint_kgco2e_per_tonne
BATCH-1852,Stainless Steel,S235JR,EAF,Germany,12.32,8.79,71.66,22.5,672.6,94.16,0.28,1.507,18.147,373.1,496.5,484.7
BATCH-1853,Galvanised Coil,S355JR,EAF,Italy,22.4,5.77,76.32,7.35,561.5,68.81,0.212,0.532,0.347,255.9,345.9,221.9
BATCH-1854,Electrical Steel,DX51D,BF-BOF,Spain,18.14,23.69,25.77,38.15,1808.1,78.61,0.106,1.104,0.612,252.4,428.1,1438.7
BATCH-1855,Electrical Steel,304,BF-BOF,Belgium,27.63,3.74,37.63,24.56,1583.5,92.39,0.088,1.641,0.366,276.1,452.6,1261.9
BATCH-1856,Stainless Steel,M270-35A,EAF,Germany,31.49,7.91,78.54,32.38,733.4,93.25,0.109,1.229,16.928,310.2,452.3,292.4
BATCH-1857,Hot Rolled Coil,S355JR,EAF,Germany,24.86,9.78,88.11,76.16,722.8,63.04,0.19,1.065,0.551,190.8,378.5,120.0
BATCH-1858,Hot Rolled Coil,M270-35A,BF-BOF,Germany,33.64,13.06,17.1,41.74,1885.4,62.28,0.25,0.987,0.701,243.0,355.7,1262.1
BATCH-1859,Hot Rolled Coil,M270-35A,EAF,Belgium,9.39,8.04,78.3,6.28,503.8,60.94,0.247,0.763,0.35,243.1,419.2,120.0
BATCH-1860,Hot Rolled Coil,S355JR,BF-BOF,Spain,18.73,6.79,25.02,51.48,1819.1,65.06,0.325,1.775,0.671,307.1,435.3,1375.8
BATCH-1861,Galvanised Coil,S235JR,BF-BOF,Italy,17.43,6.65,17.92,14.3,1803.2,68.74,0.172,0.63,0.355,184.5,320.3,1498.0
BATCH-1862,Stainless Steel,S355JR,BF-BOF,Germany,14.87,11.37,26.06,10.04,2058.6,86.29,0.142,0.739,18.464,325.4,440.2,1808.7
BATCH-1863,Stainless Steel,304,EAF,France,17.77,23.52,66.47,32.82,615.6,61.53,0.175,0.558,18.491,266.8,446.6,288.7
BATCH-1864,Galvanised Coil,304,EAF,Germany,11.43,24.24,80.36,28.13,625.4,64.33,0.052,1.71,0.391,279.5,458.9,120.0
BATCH-1865,Galvanised Coil,304,BF-BOF,Germany,21.55,13.61,25.0,14.49,1657.8,71.24,0.179,1.062,0.307,244.0,385.8,1438.9
BATCH-1866,Stainless Steel,304,EAF,Italy,16.67,4.15,73.8,30.37,693.0,56.0,0.154,1.386,19.619,341.5,482.7,489.8
BATCH-1867,Stainless Steel,S235JR,EAF,Italy,23.92,19.69,71.09,46.15,615.8,65.84,0.095,1.368,18.162,279.0,468.8,215.6
BATCH-1868,Hot Rolled Coil,DX51D,BF-BOF,Italy,19.51,8.62,24.71,26.35,2092.8,74.97,0.27,1.347,0.544,263.0,416.6,1545.3
BATCH-1869,Galvanised Coil,M270-35A,EAF,Belgium,8.12,3.63,90.56,7.75,527.6,78.94,0.128,1.202,0.591,285.2,428.1,120.0
BATCH-1870,Electrical Steel,S355JR,BF-BOF,Belgium,22.27,21.42,35.43,80.87,1612.0,82.28,0.145,1.222,0.0,240.0,331.6,1099.6
BATCH-1871,Wire Rod,M270-35A,BF-BOF,Germany,22.89,1.13,23.18,60.37,1970.9,71.87,0.071,1.601,0.268,226.5,414.0,1300.2
BATCH-1872,Wire Rod,S235JR,BF-BOF,France,30.8,1.82,20.37,65.07,1715.0,79.19,0.19,1.163,0.003,261.8,379.0,1262.8
BATCH-1873,Stainless Steel,M270-35A,EAF,Italy,15.8,9.35,66.67,39.69,740.6,91.96,0.316,0.925,18.776,326.7,489.6,330.4
BATCH-1874,Stainless Steel,304,BF-BOF,Italy,28.03,5.79,22.97,53.73,1898.9,86.2,0.194,1.594,16.71,321.2,433.1,1672.8
BATCH-1875,Stainless Steel,304,BF-BOF,Italy,31.65,17.74,35.18,64.75,1594.8,79.71,0.256,1.326,18.827,358.5,521.6,1398.2
BATCH-1876,Electrical Steel,304,EAF,Spain,26.66,24.67,84.07,35.32,543.8,88.39,0.133,0.386,0.286,200.4,336.8,120.0
BATCH-1877,Hot Rolled Coil,M270-35A,BF-BOF,Germany,11.01,12.07,24.84,75.66,1640.1,67.61,0.226,0.991,0.045,233.7,359.5,1074.7
BATCH-1878,Wire Rod,S355JR,EAF,Belgium,19.34,22.89,86.55,70.65,559.2,96.14,0.127,1.08,0.463,263.0,352.8,120.0
BATCH-1879,Galvanised Coil,S235JR,EAF,France,18.81,17.1,92.34,29.4,617.9,84.66,0.106,1.662,0.39,254.0,391.5,120.0
BATCH-1880,Galvanised Coil,M270-35A,BF-BOF,France,14.74,4.13,13.61,33.29,1822.9,83.88,0.21,1.173,0.204,240.3,335.3,1460.5
BATCH-1881,Galvanised Coil,S235JR,EAF,France,17.16,21.98,73.39,20.63,585.4,88.77,0.278,0.899,0.443,330.3,484.9,132.9
BATCH-1882,Galvanised Coil,304,EAF,Spain,26.92,19.92,65.91,47.72,583.8,55.17,0.119,0.777,0.265,253.9,414.4,120.0
BATCH-1883,Wire Rod,S355JR,BF-BOF,Spain,18.2,8.02,5.0,73.96,1586.7,61.08,0.202,1.162,0.366,303.0,459.9,1278.4
BATCH-1884,Electrical Steel,M270-35A,EAF,Spain,13.42,13.62,73.6,52.94,766.3,79.65,0.042,1.496,0.872,255.3,385.8,144.9
BATCH-1885,Wire Rod,M270-35A,EAF,Italy,29.54,5.19,64.85,35.15,644.1,81.14,0.104,1.768,0.299,257.9,379.1,166.5
BATCH-1886,Wire Rod,DX51D,EAF,France,18.47,2.87,98.0,39.87,507.7,93.57,0.362,0.678,0.369,228.7,399.0,120.0
BATCH-1887,Hot Rolled Coil,DX51D,BF-BOF,Spain,19.5,7.33,36.51,63.87,1981.3,77.89,0.146,1.223,0.499,251.1,469.3,1207.9
BATCH-1888,Hot Rolled Coil,DX51D,BF-BOF,Germany,10.27,18.29,23.78,48.71,1844.2,66.54,0.136,1.008,0.926,197.4,336.6,1337.0
BATCH-1889,Stainless Steel,DX51D,EAF,France,29.26,1.14,66.42,51.98,678.8,76.04,0.224,1.114,18.745,271.5,440.8,387.1
BATCH-1890,Wire Rod,M270-35A,BF-BOF,Spain,10.28,11.81,31.17,56.82,1720.1,68.57,0.105,0.891,0.271,222.8,360.4,1084.5
BATCH-1891,Hot Rolled Coil,S355JR,EAF,Spain,23.44,14.27,78.46,67.78,499.5,84.26,0.223,0.641,0.461,231.9,378.8,120.0
BATCH-1892,Electrical Steel,M270-35A,EAF,France,28.51,12.88,69.64,58.18,618.8,81.32,0.224,1.283,0.258,260.2,390.2,120.0
BATCH-1893,Galvanised Coil,304,EAF,France,11.37,18.45,73.15,63.17,699.3,63.15,0.156,1.019,0.4,262.2,428.1,120.0
BATCH-1894,Hot Rolled Coil,M270-35A,EAF,France,16.17,5.46,78.53,61.62,642.5,70.96,0.281,1.43,0.741,266.7,358.0,120.0
BATCH-1895,Wire Rod,304,EAF,Belgium,34.7,24.4,91.24,83.75,562.3,84.1,0.069,1.191,0.3,257.4,329.4,120.0
BATCH-1896,Hot Rolled Coil,M270-35A,BF-BOF,Italy,20.04,12.66,19.59,67.6,1778.8,95.6,0.154,1.725,0.26,279.4,421.9,1296.6
BATCH-1897,Galvanised Coil,DX51D,BF-BOF,Germany,23.63,19.09,13.92,51.46,1959.5,72.02,0.272,1.6,0.711,282.3,464.3,1381.2
BATCH-1898,Hot Rolled Coil,DX51D,BF-BOF,Germany,31.33,22.97,16.92,81.33,1732.0,86.05,0.245,1.864,0.256,266.8,437.9,1256.0
BATCH-1899,Hot Rolled Coil,S355JR,BF-BOF,Germany,32.3,6.63,40.37,81.53,1693.4,73.14,0.147,0.842,0.411,292.5,461.2,1069.9
BATCH-1900,Hot Rolled Coil,S355JR,EAF,France,17.21,24.71,94.8,34.88,684.7,71.37,0.133,1.604,0.0,310.3,517.6,120.0
BATCH-1901,Galvanised Coil,S235JR,EAF,France,30.74,16.44,66.95,73.45,631.7,82.22,0.196,1.198,0.481,253.5,447.2,120.0
BATCH-1902,Hot Rolled Coil,S355JR,EAF,Italy,16.77,7.06,89.14,88.51,688.9,96.3,0.041,1.358,0.401,276.5,419.1,120.0
BATCH-1903,Electrical Steel,M270-35A,EAF,Spain,29.81,13.05,74.87,22.58,758.9,68.84,0.181,1.161,0.053,270.2,406.3,242.1
BATCH-1904,Hot Rolled Coil,M270-35A,BF-BOF,Belgium,29.47,7.67,16.25,38.74,1887.1,74.08,0.199,1.216,0.342,286.3,383.5,1227.2
BATCH-1905,Galvanised Coil,304,EAF,Italy,23.67,19.06,59.78,40.31,704.1,57.32,0.126,1.025,0.541,228.6,379.3,186.9
BATCH-1906,Wire Rod,S355JR,EAF,Spain,25.54,20.09,91.34,56.9,696.6,82.07,0.179,1.606,0.24,310.6,511.4,120.0
BATCH-1907,Wire Rod,DX51D,EAF,Spain,23.38,10.0,92.53,86.83,512.7,71.14,0.18,0.88,0.246,207.2,391.5,120.0
BATCH-1908,Hot Rolled Coil,304,BF-BOF,France,10.96,17.32,27.28,30.98,1977.3,60.15,0.075,1.167,0.583,193.6,382.5,1302.3
BATCH-1909,Electrical Steel,S235JR,EAF,Spain,19.85,5.67,75.88,69.07,671.6,81.65,0.175,1.402,0.336,260.2,411.4,120.0
BATCH-1910,Stainless Steel,M270-35A,BF-BOF,France,11.24,8.29,34.23,71.18,2000.3,84.24,0.081,1.039,18.422,286.4,423.3,1520.5
BATCH-1911,Hot Rolled Coil,M270-35A,EAF,France,9.45,16.24,85.62,64.17,643.2,60.31,0.134,1.507,0.599,282.5,444.7,120.0
BATCH-1912,Hot Rolled Coil,M270-35A,EAF,Belgium,21.31,6.72,77.72,55.0,707.2,80.78,0.144,1.039,0.18,203.7,378.2,120.0
BATCH-1913,Stainless Steel,S235JR,EAF,Belgium,15.14,16.92,62.48,53.6,573.3,91.29,0.286,1.094,18.791,336.5,482.0,361.7
BATCH-1914,Galvanised Coil,M270-35A,BF-BOF,Spain,17.45,4.09,16.69,28.97,1986.3,78.28,0.24,1.595,0.422,268.3,439.8,1538.4
BATCH-1915,Hot Rolled Coil,304,BF-BOF,Italy,24.93,16.91,24.56,16.67,1949.0,89.25,0.287,0.992,0.189,300.5,434.1,1375.3
BATCH-1916,Hot Rolled Coil,DX51D,EAF,Spain,20.58,7.36,83.57,33.4,576.4,76.17,0.138,1.524,0.349,228.7,381.3,120.0
BATCH-1917,Galvanised Coil,S235JR,EAF,Spain,23.3,11.36,67.17,24.52,758.4,64.99,0.16,1.398,0.42,302.0,435.2,226.5
BATCH-1918,Electrical Steel,DX51D,EAF,Germany,26.17,14.45,81.37,60.47,560.7,61.64,0.198,1.871,0.501,321.0,474.4,120.0
BATCH-1919,Galvanised Coil,S355JR,EAF,France,26.07,2.94,71.47,77.52,650.8,64.9,0.187,0.969,0.286,246.5,404.5,120.0
BATCH-1920,Stainless Steel,M270-35A,EAF,Germany,26.62,15.12,54.34,18.49,659.2,82.58,0.258,1.056,19.986,343.8,493.6,558.2
BATCH-1921,Galvanised Coil,S355JR,EAF,Italy,20.29,21.0,87.96,61.05,617.2,67.55,0.227,1.259,0.872,289.6,415.7,120.0
BATCH-1922,Wire Rod,S355JR,BF-BOF,France,27.11,23.61,22.53,15.36,1771.0,78.51,0.244,1.059,0.186,258.6,366.5,1455.5
BATCH-1923,Wire Rod,M270-35A,BF-BOF,France,15.22,17.27,23.46,37.31,1729.0,89.56,0.16,1.317,0.886,286.0,493.7,1234.9
BATCH-1924,Wire Rod,S235JR,BF-BOF,Belgium,28.62,18.31,28.1,19.72,1875.1,59.24,0.233,1.22,0.235,254.2,425.6,1464.1
BATCH-1925,Hot Rolled Coil,M270-35A,BF-BOF,France,29.45,23.35,31.28,30.46,2065.5,60.04,0.146,0.743,0.053,255.8,400.0,1414.5
BATCH-1926,Hot Rolled Coil,M270-35A,BF-BOF,Belgium,32.21,23.29,28.48,77.98,1870.2,86.67,0.348,0.892,0.368,255.8,436.0,1122.8
BATCH-1927,Wire Rod,S355JR,BF-BOF,Italy,33.48,15.68,37.14,40.68,1619.6,56.3,0.158,1.764,0.447,274.7,425.9,1164.0
BATCH-1928,Electrical Steel,304,EAF,Germany,22.06,3.51,82.17,14.23,768.7,63.9,0.19,1.015,0.239,271.9,464.1,130.0
BATCH-1929,Hot Rolled Coil,304,EAF,Germany,22.38,14.67,74.42,21.91,591.3,73.58,0.234,1.31,0.302,238.9,369.8,120.0
BATCH-1930,Wire Rod,DX51D,EAF,Spain,18.23,9.02,82.28,76.71,638.7,96.6,0.348,0.943,0.496,303.7,421.2,120.0
BATCH-1931,Galvanised Coil,304,BF-BOF,Belgium,28.99,24.0,21.79,39.86,1937.7,77.53,0.255,0.897,0.006,247.6,361.8,1396.8
BATCH-1932,Galvanised Coil,S235JR,EAF,Belgium,15.27,18.66,67.34,84.56,629.6,61.13,0.12,1.538,0.327,278.6,418.3,120.0
BATCH-1933,Electrical Steel,DX51D,EAF,Germany,25.27,15.63,90.2,52.7,718.8,80.09,0.255,1.252,0.107,270.6,359.5,135.5
BATCH-1934,Electrical Steel,DX51D,EAF,Belgium,23.16,7.01,83.34,48.1,641.8,71.19,0.069,0.836,0.252,241.5,387.5,120.0
BATCH-1935,Electrical Steel,DX51D,BF-BOF,France,15.56,8.62,12.49,43.77,2103.3,57.5,0.143,1.232,0.671,244.9,370.3,1666.0
BATCH-1936,Hot Rolled Coil,M270-35A,BF-BOF,Italy,14.99,7.35,30.04,70.74,1944.1,76.67,0.126,1.3,0.411,266.7,403.7,1202.1
BATCH-1937,Wire Rod,M270-35A,BF-BOF,Germany,12.34,12.61,40.87,76.03,2240.0,82.34,0.15,1.757,0.823,271.2,437.0,1373.9
BATCH-1938,Galvanised Coil,304,BF-BOF,France,27.8,11.33,26.91,15.8,1603.7,96.3,0.234,0.448,0.244,299.0,465.4,1396.4
BATCH-1939,Hot Rolled Coil,DX51D,BF-BOF,France,30.21,13.66,21.69,39.72,2111.3,86.2,0.257,1.542,0.597,266.2,366.3,1522.1
BATCH-1940,Hot Rolled Coil,DX51D,EAF,Belgium,12.91,3.97,98.0,29.04,763.4,88.56,0.268,1.026,0.533,284.6,464.5,120.0
BATCH-1941,Hot Rolled Coil,S235JR,BF-BOF,France,32.51,11.38,42.46,81.45,1823.3,94.21,0.145,1.844,0.01,257.6,386.0,1096.3
BATCH-1942,Wire Rod,DX51D,BF-BOF,France,13.57,21.7,19.35,67.45,1705.5,68.91,0.079,1.735,0.23,241.6,327.2,1221.3
BATCH-1943,Wire Rod,S355JR,EAF,France,10.89,3.16,93.0,29.85,550.9,79.32,0.214,1.798,0.635,306.6,390.7,120.0
BATCH-1944,Hot Rolled Coil,M270-35A,BF-BOF,France,31.71,0.52,25.0,39.71,1709.9,96.77,0.196,1.017,0.439,171.8,351.9,1172.7
BATCH-1945,Electrical Steel,304,BF-BOF,Italy,32.92,15.38,33.07,40.63,2027.9,78.77,0.053,0.717,0.192,188.7,349.6,1423.7
BATCH-1946,Stainless Steel,M270-35A,BF-BOF,France,12.43,6.63,35.12,84.2,2104.2,60.62,0.155,1.164,18.905,293.5,474.8,1643.8
BATCH-1947,Hot Rolled Coil,M270-35A,BF-BOF,France,12.81,13.53,17.95,45.26,1822.7,96.2,0.108,0.853,0.0,245.8,460.7,1295.0
BATCH-1948,Stainless Steel,DX51D,EAF,Italy,15.91,3.68,98.0,6.57,724.2,70.17,0.03,1.139,17.84,289.4,428.1,318.8
BATCH-1949,Hot Rolled Coil,DX51D,EAF,Spain,9.63,24.05,71.63,67.06,710.9,65.84,0.191,0.701,0.118,195.1,384.2,120.0
BATCH-1950,Stainless Steel,304,EAF,Germany,19.32,16.78,95.97,13.21,602.7,82.11,0.135,1.018,19.38,304.9,432.8,286.6
BATCH-1951,Stainless Steel,DX51D,BF-BOF,France,27.4,8.82,29.34,58.61,1755.2,70.16,0.136,1.657,17.593,329.3,461.7,1421.2
BATCH-1952,Hot Rolled Coil,S355JR,BF-BOF,Italy,10.27,21.97,26.44,48.65,1391.2,72.69,0.185,1.244,0.0,269.5,445.5,894.8
BATCH-1953,Electrical Steel,304,BF-BOF,Belgium,16.13,19.03,32.23,69.83,2040.7,64.27,0.044,0.787,0.443,177.5,300.0,1418.9
BATCH-1954,Stainless Steel,DX51D,BF-BOF,Belgium,17.65,4.46,11.74,51.76,1786.5,56.63,0.102,1.363,18.551,317.6,415.3,1717.2
BATCH-1955,Stainless Steel,M270-35A,BF-BOF,Belgium,33.43,23.59,27.79,19.89,1983.1,58.13,0.197,0.934,15.44,304.2,414.7,1819.0
BATCH-1956,Stainless Steel,S355JR,EAF,Italy,28.11,2.01,82.85,80.99,448.9,66.91,0.218,1.57,16.761,345.2,466.8,120.0
BATCH-1957,Galvanised Coil,DX51D,EAF,Germany,17.96,24.22,59.92,81.78,731.5,73.18,0.274,1.496,0.302,297.7,414.1,120.0
BATCH-1958,Hot Rolled Coil,DX51D,EAF,Belgium,13.57,5.39,70.01,40.76,656.4,90.54,0.194,1.387,0.417,278.4,406.6,120.0
BATCH-1959,Electrical Steel,M270-35A,BF-BOF,Spain,31.47,2.37,25.21,56.8,1680.8,64.22,0.22,1.767,0.103,312.2,490.5,1430.4
BATCH-1960,Galvanised Coil,DX51D,EAF,Belgium,15.69,14.4,87.92,51.96,681.8,83.14,0.186,1.087,0.521,284.5,446.4,120.0
BATCH-1961,Galvanised Coil,S235JR,BF-BOF,Belgium,24.87,11.21,48.55,50.41,1948.8,94.82,0.241,1.848,0.029,261.5,398.9,1244.3
BATCH-1962,Wire Rod,S355JR,BF-BOF,Spain,26.67,10.19,36.23,12.67,2089.2,72.48,0.099,1.329,0.285,260.1,424.8,1428.0
BATCH-1963,Galvanised Coil,M270-35A,EAF,Italy,29.31,22.54,82.02,46.99,495.3,97.09,0.13,1.435,0.286,278.4,478.2,120.0
BATCH-1964,Hot Rolled Coil,S355JR,BF-BOF,Spain,24.68,0.71,19.23,24.14,1886.4,82.41,0.172,0.399,0.652,211.2,375.4,1387.5
BATCH-1965,Electrical Steel,S355JR,BF-BOF,Spain,18.85,7.43,15.39,72.82,1909.2,96.15,0.179,1.105,0.127,242.7,421.6,1353.6
BATCH-1966,Hot Rolled Coil,S235JR,BF-BOF,Belgium,12.02,6.54,22.09,77.15,1701.1,67.68,0.093,1.066,0.417,301.0,442.9,1025.5
BATCH-1967,Electrical Steel,304,EAF,France,13.39,4.92,77.26,6.59,514.1,83.17,0.068,0.758,0.495,218.5,390.1,137.0
BATCH-1968,Electrical Steel,S235JR,EAF,Italy,23.85,4.51,79.96,67.62,560.6,61.83,0.115,0.826,0.503,260.4,437.4,120.0
BATCH-1969,Wire Rod,S355JR,EAF,Italy,21.11,6.88,56.9,14.76,773.2,94.28,0.128,1.579,0.294,297.9,382.4,318.6
BATCH-1970,Galvanised Coil,304,EAF,France,18.32,4.35,65.43,5.84,742.9,69.52,0.203,1.383,0.465,303.8,526.3,195.2
BATCH-1971,Wire Rod,M270-35A,BF-BOF,Italy,22.37,5.69,5.0,6.16,1695.3,61.82,0.034,1.399,0.634,284.5,420.5,1355.0
BATCH-1972,Stainless Steel,S355JR,BF-BOF,Belgium,31.19,14.37,15.9,44.61,1972.7,77.76,0.34,1.89,18.581,379.3,512.3,1699.2
BATCH-1973,Electrical Steel,S355JR,BF-BOF,Germany,9.15,4.72,35.05,74.2,1887.1,62.2,0.118,1.336,0.278,258.6,405.9,1167.6
BATCH-1974,Wire Rod,S235JR,EAF,Italy,11.71,23.64,71.33,31.47,645.5,67.04,0.065,1.645,0.362,262.3,468.1,120.0
BATCH-1975,Hot Rolled Coil,DX51D,BF-BOF,Spain,8.04,7.99,16.2,83.59,1686.8,71.41,0.084,1.263,0.183,254.6,350.9,1116.1
BATCH-1976,Hot Rolled Coil,M270-35A,EAF,Belgium,16.63,14.14,74.72,40.8,619.0,61.32,0.169,0.943,0.669,246.8,418.5,120.0
BATCH-1977,Wire Rod,S355JR,EAF,France,12.5,20.13,86.81,21.04,501.1,56.73,0.113,1.161,0.3,244.0,384.8,120.0
BATCH-1978,Stainless Steel,S355JR,BF-BOF,France,15.53,18.79,21.87,44.02,1913.4,71.12,0.166,1.395,17.198,289.7,458.7,1660.9
BATCH-1979,Electrical Steel,S355JR,BF-BOF,Germany,10.04,1.32,13.75,58.29,1679.6,63.91,0.151,0.606,0.148,245.4,376.2,1372.2
BATCH-1980,Hot Rolled Coil,M270-35A,BF-BOF,France,17.3,10.55,24.15,47.99,1662.3,83.87,0.186,1.245,0.442,245.7,391.4,1187.0
BATCH-1981,Stainless Steel,DX51D,BF-BOF,Belgium,18.8,19.77,33.16,42.46,2032.8,55.01,0.171,1.328,18.134,330.4,459.7,1483.2
BATCH-1982,Wire Rod,304,EAF,Spain,33.0,23.18,68.45,21.02,659.9,82.85,0.208,0.904,0.108,235.6,389.8,230.3
BATCH-1983,Stainless Steel,304,EAF,Italy,23.42,17.62,81.96,64.44,700.7,78.37,0.295,0.686,16.412,279.0,406.5,120.0
BATCH-1984,Hot Rolled Coil,304,EAF,Spain,30.82,9.97,74.73,34.78,576.8,77.5,0.151,1.344,0.517,241.3,394.0,120.0
BATCH-1985,Galvanised Coil,DX51D,BF-BOF,Belgium,24.85,14.48,33.71,87.5,1978.9,76.83,0.106,1.194,0.41,275.0,437.7,1210.8
BATCH-1986,Stainless Steel,DX51D,EAF,Italy,20.07,19.15,69.24,39.05,669.9,78.32,0.244,1.572,18.65,311.2,525.7,384.8
BATCH-1987,Hot Rolled Coil,DX51D,EAF,France,32.07,11.27,86.72,23.83,631.5,76.78,0.206,1.212,0.287,259.0,414.6,120.0
BATCH-1988,Galvanised Coil,S235JR,EAF,Belgium,28.86,22.41,89.95,78.07,436.1,74.19,0.171,0.392,0.029,234.8,369.2,120.0
BATCH-1989,Stainless Steel,DX51D,BF-BOF,Belgium,8.74,8.13,26.2,22.74,1669.4,69.61,0.192,1.162,16.297,303.3,432.6,1474.2
BATCH-1990,Hot Rolled Coil,M270-35A,BF-BOF,Italy,13.95,23.63,26.52,19.29,1726.5,70.61,0.141,1.423,0.514,249.0,372.9,1254.1
BATCH-1991,Hot Rolled Coil,S235JR,EAF,Germany,34.97,17.72,90.16,66.07,574.3,59.17,0.273,0.69,0.636,239.2,373.3,120.0
BATCH-1992,Galvanised Coil,M270-35A,EAF,Germany,28.78,22.22,67.99,30.34,695.8,71.95,0.245,0.591,0.279,222.3,350.8,257.5
BATCH-1993,Wire Rod,DX51D,BF-BOF,Germany,19.15,24.06,26.36,40.47,2158.0,76.09,0.197,1.389,0.465,236.6,423.4,1496.7
BATCH-1994,Hot Rolled Coil,S355JR,BF-BOF,Spain,23.97,1.08,13.21,43.34,1618.7,87.82,0.157,1.541,0.231,267.4,417.6,1245.1
BATCH-1995,Wire Rod,S235JR,EAF,Germany,28.83,20.42,76.39,71.6,619.8,73.84,0.056,1.066,0.331,188.7,330.2,120.0
BATCH-1996,Electrical Steel,304,EAF,Germany,18.58,10.08,62.25,53.81,513.3,88.11,0.234,1.284,0.433,265.9,420.8,126.0
BATCH-1997,Hot Rolled Coil,S235JR,BF-BOF,Spain,9.2,5.08,29.15,68.02,1898.5,88.51,0.186,0.822,0.452,264.4,446.6,1332.8
BATCH-1998,Wire Rod,DX51D,BF-BOF,Italy,24.67,12.52,29.28,88.94,1790.0,69.05,0.248,0.956,0.262,255.7,378.9,1151.9
BATCH-1999,Electrical Steel,S235JR,EAF,Italy,11.14,16.59,98.0,65.43,562.5,76.33,0.08,1.313,0.513,262.0,407.9,120.0
BATCH-2000,Galvanised Coil,M270-35A,BF-BOF,Germany,14.54,4.1,20.99,28.7,1692.1,69.01,0.169,1.218,0.11,257.6,460.4,1257.5
BATCH-2001,Electrical Steel,S235JR,BF-BOF,France,22.02,23.9,16.73,70.19,1801.0,58.12,0.163,1.287,0.646,252.5,366.1,1389.8
BATCH-2002,Wire Rod,M270-35A,EAF,France,29.51,22.25,73.42,77.24,479.1,91.75,0.049,1.32,0.175,241.2,366.3,120.0
BATCH-2003,Stainless Steel,DX51D,EAF,Spain,14.07,24.38,96.02,41.62,521.5,90.28,0.074,1.971,16.739,363.6,533.2,190.2
BATCH-2004,Galvanised Coil,S235JR,BF-BOF,Belgium,13.19,7.53,36.57,61.06,1945.2,58.65,0.198,0.25,0.045,234.2,368.7,1358.7
BATCH-2005,Hot Rolled Coil,304,EAF,Belgium,19.47,12.16,92.64,46.68,656.7,83.15,0.361,1.377,0.11,302.2,438.1,120.0
BATCH-2006,Stainless Steel,M270-35A,EAF,Germany,11.69,21.68,87.99,15.84,490.5,91.34,0.27,0.958,20.099,361.2,518.0,331.0
BATCH-2007,Galvanised Coil,S355JR,BF-BOF,Spain,14.75,14.92,23.94,66.95,1863.8,56.72,0.052,0.863,0.086,250.0,372.8,1226.3
BATCH-2008,Hot Rolled Coil,M270-35A,EAF,Spain,16.12,21.07,68.51,42.71,664.1,71.8,0.193,1.299,0.586,250.9,418.0,120.0
BATCH-2009,Hot Rolled Coil,304,BF-BOF,Germany,29.08,0.51,32.97,34.44,1901.8,65.5,0.13,1.241,0.282,236.6,452.8,1299.6
BATCH-2010,Galvanised Coil,304,EAF,Spain,25.91,13.26,72.78,44.76,534.3,75.43,0.225,1.429,0.472,290.5,398.1,120.0
BATCH-2011,Hot Rolled Coil,S355JR,EAF,Italy,17.78,22.73,71.22,54.47,514.9,61.62,0.188,1.192,0.463,267.7,385.7,120.0
BATCH-2012,Hot Rolled Coil,S235JR,EAF,Germany,33.56,19.24,72.38,69.33,717.7,56.46,0.135,0.855,0.477,263.1,471.8,129.8
BATCH-2013,Hot Rolled Coil,DX51D,BF-BOF,Spain,15.45,2.72,21.85,82.24,2205.0,55.9,0.238,0.718,0.588,246.5,376.7,1534.9
BATCH-2014,Wire Rod,M270-35A,BF-BOF,Belgium,21.72,20.09,23.03,63.16,1739.8,95.79,0.184,0.947,0.304,258.7,403.2,1236.3
BATCH-2015,Wire Rod,DX51D,BF-BOF,Italy,24.72,7.84,22.91,89.51,1820.1,57.88,0.197,1.397,0.267,301.1,406.9,1108.3
BATCH-2016,Galvanised Coil,304,EAF,France,33.8,16.09,80.52,18.39,752.4,64.38,0.18,1.495,0.056,240.1,435.6,193.6
BATCH-2017,Hot Rolled Coil,304,BF-BOF,Italy,31.09,9.5,25.15,18.12,1907.3,81.92,0.181,0.538,0.368,219.9,392.4,1308.0
BATCH-2018,Hot Rolled Coil,S355JR,EAF,Italy,18.09,21.83,79.88,72.19,730.1,82.46,0.187,1.062,0.339,280.0,437.4,120.0
BATCH-2019,Galvanised Coil,S235JR,BF-BOF,Belgium,21.54,21.4,24.57,58.85,1652.0,59.12,0.272,1.039,0.144,261.6,410.9,1258.0
BATCH-2020,Wire Rod,M270-35A,EAF,Spain,20.33,23.27,54.88,78.28,802.0,78.46,0.242,1.255,0.214,275.4,408.0,120.0
BATCH-2021,Galvanised Coil,304,BF-BOF,Spain,16.24,13.74,25.13,62.71,1951.5,74.72,0.262,0.912,0.188,243.1,386.7,1524.6
BATCH-2022,Hot Rolled Coil,DX51D,EAF,Spain,20.99,14.18,88.18,6.07,634.3,64.62,0.038,0.624,0.094,224.7,392.1,120.0
BATCH-2023,Hot Rolled Coil,DX51D,EAF,Spain,10.4,3.56,78.72,62.18,625.6,89.63,0.21,1.017,0.655,255.4,373.3,120.0
BATCH-2024,Hot Rolled Coil,M270-35A,BF-BOF,France,9.47,16.23,20.28,22.99,1856.5,96.52,0.106,1.578,0.47,256.3,452.8,1307.6
